Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Species
Dream,No,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,44.0,13.6,208.0,4350.0,FEMALE,8.01979,-26.68311,Gentoo penguin (Pygoscelis papua)
Dream,Yes,42.4,17.3,181.0,3600.0,FEMALE,9.35138,-24.6879,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,49.6,15.0,216.0,4750.0,MALE,8.26548,-26.7699,Gentoo penguin (Pygoscelis papua)
Dream,Yes,36.4,17.0,195.0,3325.0,FEMALE,9.17847,-25.23061,Adelie Penguin (Pygoscelis adeliae)
Biscoe,No,47.2,13.7,214.0,4925.0,FEMALE,7.99184,-26.20538,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,38.6,21.2,191.0,3800.0,MALE,,,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,39.2,18.6,190.0,4250.0,MALE,9.11006,-25.79549,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,46.0,18.9,195.0,4150.0,FEMALE,8.47173,-24.29229,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,No,50.5,15.9,225.0,5400.0,MALE,8.65803,-26.57585,Gentoo penguin (Pygoscelis papua)
Dream,Yes,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698,Adelie Penguin (Pygoscelis adeliae)
Dream,No,43.5,18.1,202.0,3400.0,FEMALE,9.37608,-24.40753,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,48.7,15.7,208.0,5350.0,MALE,8.14776,-26.84506,Gentoo penguin (Pygoscelis papua)
Dream,Yes,36.0,17.8,195.0,3450.0,FEMALE,8.94332,-25.79189,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,42.0,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,33.5,19.0,190.0,3600.0,FEMALE,7.88863,-26.63085,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,51.3,19.9,198.0,3700.0,MALE,8.79581,-24.36088,Chinstrap penguin (Pygoscelis antarctica)
Torgersen,No,43.1,19.2,197.0,3500.0,MALE,8.86495,-26.1396,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,46.2,14.4,214.0,4650.0,,8.24253,-26.8154,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524,Gentoo penguin (Pygoscelis papua)
Dream,Yes,47.0,17.3,185.0,3700.0,FEMALE,8.72037,-24.80526,Chinstrap penguin (Pygoscelis antarctica)
Dream,No,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,49.5,16.1,224.0,5650.0,MALE,8.83352,-25.69195,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,49.2,15.2,221.0,6300.0,MALE,8.27376,-25.00169,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,37.8,17.3,180.0,3700.0,,,,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,42.0,20.2,190.0,4250.0,,9.13362,-25.09368,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.1,14.5,215.0,5000.0,FEMALE,7.6322,-25.46569,Gentoo penguin (Pygoscelis papua)
Dream,Yes,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,35.2,15.9,186.0,3050.0,FEMALE,8.81668,-25.95399,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,37.3,16.8,192.0,3000.0,FEMALE,9.06829,-25.85203,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,48.7,15.1,222.0,5350.0,MALE,7.96491,-25.39587,Gentoo penguin (Pygoscelis papua)
Dream,Yes,46.6,17.8,193.0,3800.0,FEMALE,8.95063,-24.59897,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,51.0,18.8,203.0,4100.0,MALE,9.23196,-24.17282,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,46.8,16.5,189.0,3650.0,FEMALE,9.65061,-24.48153,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,41.1,18.2,192.0,4050.0,MALE,8.62264,-26.60023,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,35.0,17.9,190.0,3450.0,FEMALE,8.19539,-26.17213,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,46.2,14.9,221.0,5300.0,MALE,8.60092,-26.84374,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,42.9,13.1,215.0,5000.0,FEMALE,7.68528,-25.39181,Gentoo penguin (Pygoscelis papua)
Dream,Yes,37.2,18.1,178.0,3900.0,MALE,9.72764,-25.0102,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,51.3,18.2,197.0,3750.0,MALE,8.63701,-24.84059,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,36.5,16.6,181.0,2850.0,FEMALE,9.07878,-25.88156,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,52.1,17.0,230.0,5550.0,MALE,8.27595,-26.11657,Gentoo penguin (Pygoscelis papua)
Dream,Yes,51.5,18.7,187.0,3250.0,MALE,9.6895,-24.43062,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,49.7,18.6,195.0,3600.0,MALE,9.75486,-24.31198,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,55.9,17.0,228.0,5600.0,MALE,8.3118,-26.35425,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,55.1,16.0,230.0,5850.0,MALE,8.08354,-26.18161,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,45.1,14.5,207.0,5050.0,FEMALE,7.97408,-25.53768,Gentoo penguin (Pygoscelis papua)
Dream,No,52.0,19.0,197.0,4150.0,MALE,9.36799,-24.47142,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,46.3,15.8,215.0,5050.0,MALE,7.90971,-25.38157,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,37.8,17.1,186.0,3300.0,,8.63243,-25.21315,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,47.2,15.5,215.0,4975.0,FEMALE,8.30817,-26.21651,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,46.5,14.4,217.0,4900.0,FEMALE,8.48789,-26.83006,Gentoo penguin (Pygoscelis papua)
Dream,No,58.0,17.8,181.0,3700.0,FEMALE,9.14382,-24.57994,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.8,14.6,210.0,4200.0,FEMALE,7.79958,-25.62618,Gentoo penguin (Pygoscelis papua)
Dream,Yes,36.6,18.4,184.0,3475.0,FEMALE,8.68744,-25.8306,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,54.2,20.8,201.0,4300.0,MALE,9.49283,-24.59996,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,46.9,14.6,222.0,4875.0,FEMALE,7.8881,-26.04726,Gentoo penguin (Pygoscelis papua)
Dream,Yes,38.8,20.0,190.0,3950.0,MALE,9.18985,-25.12255,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,46.7,15.3,219.0,5200.0,MALE,8.22673,-25.4276,Gentoo penguin (Pygoscelis papua)
Dream,Yes,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,34.6,17.2,189.0,3200.0,FEMALE,7.69778,-26.5387,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,48.4,14.4,203.0,4625.0,FEMALE,8.16582,-26.13971,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,50.5,15.9,222.0,5550.0,MALE,8.46894,-26.60436,Gentoo penguin (Pygoscelis papua)
Dream,Yes,41.1,17.5,190.0,3900.0,MALE,8.94365,-26.06943,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.2,15.8,215.0,5300.0,MALE,8.55868,-26.67799,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,50.2,14.3,218.0,5700.0,MALE,7.8962,-25.37746,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,51.7,20.3,194.0,3775.0,MALE,8.68747,-24.38751,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.5,14.5,212.0,4750.0,FEMALE,8.15566,-26.22848,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,46.6,14.2,210.0,4850.0,FEMALE,8.38289,-26.86352,Gentoo penguin (Pygoscelis papua)
Dream,No,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,44.5,15.7,217.0,4875.0,.,8.04111,-26.18444,Gentoo penguin (Pygoscelis papua)
Dream,Yes,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,No,42.7,13.7,208.0,3950.0,FEMALE,8.14567,-26.59467,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294,Adelie Penguin (Pygoscelis adeliae)
Biscoe,No,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837,Adelie Penguin (Pygoscelis adeliae)
Torgersen,No,41.8,19.4,198.0,4450.0,MALE,8.86853,-26.06209,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867,Chinstrap penguin (Pygoscelis antarctica)
Torgersen,Yes,40.6,19.0,199.0,4000.0,MALE,9.22537,-25.60826,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,36.4,17.1,184.0,2850.0,FEMALE,8.62623,-26.1165,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405,Gentoo penguin (Pygoscelis papua)
Dream,Yes,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,50.0,15.2,218.0,5700.0,MALE,8.2554,-25.40075,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,50.4,15.3,224.0,5550.0,MALE,8.74647,-26.79846,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.8,14.2,219.0,4700.0,FEMALE,8.60447,-26.61601,Gentoo penguin (Pygoscelis papua)
Dream,Yes,49.3,19.9,203.0,4050.0,MALE,9.88809,-24.59513,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,48.8,16.2,222.0,6000.0,MALE,8.33825,-25.88547,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,50.1,15.0,225.0,5000.0,MALE,8.50153,-26.61414,Gentoo penguin (Pygoscelis papua)
Dream,Yes,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,36.0,17.1,187.0,3700.0,FEMALE,8.93465,-26.07081,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,36.7,18.8,187.0,3800.0,FEMALE,7.88494,-26.24837,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,49.9,16.1,213.0,5400.0,MALE,8.3639,-26.15531,Gentoo penguin (Pygoscelis papua)
Dream,Yes,41.1,19.0,182.0,3425.0,MALE,,,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,45.9,17.1,190.0,3575.0,FEMALE,9.12277,-24.90024,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,46.4,15.6,221.0,5000.0,MALE,8.35078,-26.70783,Gentoo penguin (Pygoscelis papua)
Dream,Yes,50.8,18.5,201.0,4450.0,MALE,9.45827,-24.35575,Chinstrap penguin (Pygoscelis antarctica)
Torgersen,Yes,39.6,17.2,196.0,3550.0,FEMALE,8.33524,-26.55351,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,51.3,19.2,193.0,3650.0,MALE,9.29078,-24.7557,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.0,15.4,220.0,5050.0,MALE,8.63488,-26.75621,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,49.5,16.2,229.0,5800.0,MALE,8.49854,-26.74809,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,45.2,14.8,212.0,5200.0,FEMALE,8.24246,-26.11969,Gentoo penguin (Pygoscelis papua)
Dream,Yes,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,39.6,18.8,190.0,4600.0,MALE,9.49106,-24.10255,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,41.1,17.6,182.0,3200.0,FEMALE,,,Adelie Penguin (Pygoscelis adeliae)
Torgersen,No,37.7,19.8,198.0,3500.0,MALE,9.11066,-26.42563,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,43.3,13.4,209.0,4400.0,FEMALE,8.13643,-25.32176,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,43.2,14.5,208.0,4450.0,FEMALE,8.48367,-26.86485,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,35.7,17.0,189.0,3350.0,FEMALE,8.96436,-23.90309,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,45.3,13.8,208.0,4200.0,FEMALE,8.65015,-26.79053,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,48.1,15.1,209.0,5500.0,MALE,8.45738,-26.22664,Gentoo penguin (Pygoscelis papua)
Dream,Yes,40.8,18.4,195.0,3900.0,MALE,,,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745,Adelie Penguin (Pygoscelis adeliae)
Dream,No,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735,Chinstrap penguin (Pygoscelis antarctica)
Torgersen,Yes,37.2,19.4,184.0,3900.0,MALE,8.3554,-26.44787,Adelie Penguin (Pygoscelis adeliae)
Torgersen,No,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259,Chinstrap penguin (Pygoscelis antarctica)
Biscoe,Yes,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.78958,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543,Adelie Penguin (Pygoscelis adeliae)
Dream,No,39.8,19.1,184.0,4650.0,MALE,,,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,48.2,15.6,221.0,5100.0,MALE,8.24651,-26.66958,Gentoo penguin (Pygoscelis papua)
Torgersen,Yes,44.1,18.0,210.0,4000.0,MALE,9.10702,-26.01363,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,40.2,17.1,193.0,3400.0,FEMALE,9.2881,-25.54976,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,52.2,17.1,228.0,5400.0,MALE,8.36701,-25.89834,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,47.5,15.0,218.0,4950.0,FEMALE,8.29671,-26.08547,Gentoo penguin (Pygoscelis papua)
Biscoe,Yes,47.5,14.0,212.0,4875.0,FEMALE,8.12691,-26.23613,Gentoo penguin (Pygoscelis papua)
Dream,Yes,47.5,16.8,199.0,3900.0,FEMALE,9.07825,-25.1455,Chinstrap penguin (Pygoscelis antarctica)
Torgersen,No,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711,Adelie Penguin (Pygoscelis adeliae)
Torgersen,No,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.07821,Adelie Penguin (Pygoscelis adeliae)
Biscoe,Yes,35.5,16.2,195.0,3350.0,FEMALE,8.56192,-25.95541,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,40.7,17.0,190.0,3725.0,MALE,9.05674,-25.79529,Adelie Penguin (Pygoscelis adeliae)
Torgersen,Yes,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588,Adelie Penguin (Pygoscelis adeliae)
Dream,Yes,50.2,18.8,202.0,3800.0,MALE,9.74492,-24.404,Chinstrap penguin (Pygoscelis antarctica)
Dream,Yes,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037,Adelie Penguin (Pygoscelis adeliae)
